#SN              v_siII              v_siII_err
1981b            11868.5             224.386
1986g            10479.8             222.453
1989b            10560.5             222.453
1990n            9376.939999999999   222.453
1990o            11987.7             222.453
1991bg           10039.300000000001  222.453
1991m            12805.300000000001  222.453
1991t            9623.59             223.878
1992a            14039.8             222.453
1992ae           7359.47             300.0
1992ag           11741.4             300.0
1992al           11263.9             300.0
1992bc           11848.699999999999  300.0
1992bh           12094.4             300.0
1992bl           11426.5             300.0
1992bo           10519.9             300.0
1992bp           11234.9             300.0
1992bs           9314.78             300.0
1992p            10406.3             300.0
1993ac           13208.3             222.453
1993ag           11047.800000000001  300.0
1993h            10145.699999999999  300.0
1994ae           10978.6             225.45299999999997
1994d            11237.3             244.91
1994m            12356.9             265.319
1994s            10715.3             239.136
1994t            13432.5             296.97499999999997
1995al           13007.7             234.702
1995d            10328.8             226.586
1995e            11156.800000000001  243.074
1996ai           10816.1             223.63
1996bk           12159.0             222.911
1996bl           12337.400000000001  241.732
1996bo           12254.8             237.068
1996c            10689.1             222.453
1996x            11173.1             222.453
1996z            12142.099999999999  233.56799999999998
1997bp           15623.4             222.453
1997bq           14241.0             234.321
1997br           11599.8             222.453
1997cn           9607.58             222.453
1997do           13379.9             251.22499999999997
1997dt           11330.0             222.453
1997e            12010.0             231.4
1997y            11033.0             222.453
1998ab           9330.43             222.453
1998aq           10801.0             229.044
1998bp           11010.400000000001  226.879
1998bu           10905.5             231.4
1998co           11098.599999999999  222.453
1998de           11302.9             242.17600000000002
1998dh           12037.0             223.14600000000002
1998dm           11069.599999999999  222.453
1998dx           11803.3             387.332
1998ec           12413.199999999999  237.068
1998ef           13262.0             223.63
1998eg           10811.3             243.074
1998es           10198.4             222.453
1998v            10851.0             223.878
1999aa           10441.2             228.09199999999998
1999ac           9934.07             222.453
1999ao           11914.7             222.453
1999aw           11741.099999999999  222.453
1999bp           10924.5             222.453
1999by           10100.300000000001  222.453
1999cc           12029.7             243.98600000000002
1999cl           12472.6             254.836
1999cp           11146.0             221.129
1999da           10831.699999999999  250.72100000000003
1999dq           10715.0             256.961
1999ee           10012.1             263.6
1999ej           10663.8             222.453
1999ek           10754.0             260.233
1999gd           10778.7             247.76000000000002
1999gh           12021.0             222.453
1999gp           11334.6             241.732
2000b            15041.4             230.708
2000ca           10809.4             300.0
2000ce           11365.3             222.453
2000cf           9955.130000000001   244.91
2000cn           12233.9             276.09099999999995
2000cp           11727.9             292.235
2000cu           11577.3             237.88500000000002
2000cw           10561.6             243.074
2000dg           10810.9             222.453
2000dk           11101.5             238.716
2000dm           11274.300000000001  224.13
2000dn           10208.8             226.297
2000e            10831.4             222.453
2000fa           11817.4             237.475
2001ay           14775.5             277.959
2001az           11455.1             222.453
2001ba           10632.7             300.0
2001bf           10527.1             223.878
2001bg           12520.8             224.64700000000002
2001br           13450.0             237.475
2001cj           10366.9             300.0
2001ck           11267.300000000001  260.788
2001cn           11040.699999999999  300.0
2001cp           10879.6             231.4
2001cz           10192.3             300.0
2001da           11527.4             224.386
2001dl           9934.02             300.0
2001e            14511.300000000001  222.453
2001eh           10700.1             253.79000000000002
2001el           11653.3             222.453
2001en           13318.699999999999  222.453
2001ep           10800.7             230.367
2001ex           9883.52             394.823
2001fe           11147.5             222.453
2001fh           10918.300000000001  252.755
2001g            11845.2             222.453
2001gc           15005.2             233.56799999999998
2001n            14056.6             222.453
2001v            11202.1             237.068
2002aw           10846.8             243.074
2002bf           15516.1             222.679
2002bo           13114.2             222.453
2002cd           15275.1             231.05200000000002
2002cf           11354.900000000001  310.98900000000003
2002ck           10289.8             269.416
2002cr           10053.599999999999  227.78300000000002
2002cs           14033.0             235.869
2002cu           12503.4             234.321
2002de           11439.4             246.32100000000003
2002dj           13686.400000000001  222.453
2002do           11285.7             224.386
2002dp           11085.5             232.108
2002ef           11525.800000000001  233.19799999999998
2002er           11911.0             222.453
2002eu           11522.0             236.665
2002fb           10922.7             232.46800000000002
2002fk           10008.0             238.298
2002g            11843.8             255.89299999999997
2002ha           11287.3             235.476
2002hd           11327.6             253.27100000000002
2002he           12618.1             222.453
2002hu           9875.07             276.09099999999995
2002hw           10672.5             322.65500000000003
2002jg           11545.199999999999  323.396
2002jy           10947.0             247.76000000000002
2002kf           11914.8             222.453
2003cg           11358.599999999999  228.406
2003ch           10968.5             343.90999999999997
2003cq           11670.6             438.34499999999997
2003du           10513.3             222.453
2003fa           10184.8             222.453
