SN	V0SiII	e_V0SiII
1981B 	-11.87	0.22
1986G 	-10.48	0.2
1989B 	-10.56	0.22
1990N 	 -9.38	0.22
1990O 	-11.99	0.2
1991M 	-12.81	0.2
1991T 	 -9.62	0.2
1991bg	-10.04	0.2
1992A 	-14.04	0.22
1992ag	-11.74	0.3
1992al	-11.26	0.3
1993ac	-13.21	0.22
1994D 	-11.24	0.24
1994M 	-12.36	0.27
1994S 	-10.72	0.24
1994T 	-13.43	0.3
1994ae	-10.98	0.23
1995D 	-10.33	0.2
1995E 	-11.16	0.24
1995al	-13.01	0.2
1996C 	-10.69	0.2
1996X 	-11.17	0.22
1996Z 	-12.14	0.23
1996ai	-10.82	0.2
1996bk	-12.16	0.2
1996bl	-12.34	0.24
1996bo	-12.25	0.24
1997E 	-12.01	0.23
1997Y 	-11.03	0.22
1997bp	-15.62	0.2
1997bq	-14.24	0.23
1997br	-11.60	0.22
1997cn	 -9.61	0.2
1997do	-13.38	0.2
1997dt	-11.33	0.22
1998V 	-10.85	0.22
1998ab	 -9.33	0.2
1998aq	-10.80	0.23
1998bp	-11.01	0.2
1998bu	-10.91	0.23
1998co	-11.10	0.2
1998de	-11.30	0.2
1998dh	-12.04	0.22
1998dm	-11.07	0.2
1998dx	-11.80	0.39
1998ec	-12.41	0.24
1998ef	-13.26	0.22
1998eg	-10.81	0.24
1998es	-10.20	0.2
1999aa	-10.44	0.2
1999ac	 -9.93	0.22
1999ao	-11.91	0.2
1999av	-11.17	0.2
1999aw	-11.74	0.2
1999bk	-10.35	0.2
1999bp	-10.92	0.2
1999by	-10.10	0.2
1999cc	-12.03	0.24
1999cl	-12.47	0.25
1999da	-10.83	0.2
1999dq	-10.71	0.2
1999ee	-10.01	0.2
1999ej	-10.66	0.2
1999ek	-10.75	0.26
1999gd	-10.78	0.25
1999gh	-12.02	0.2
1999gp	-11.33	0.2
2000B 	-15.04	0.2
2000E 	-10.83	0.22
2000ca	-10.81	0.3
2000ce	-11.36	0.2
2000cf	 -9.95	0.24
2000cn	-12.23	0.2
2000cp	-11.73	0.29
2000cu	-11.58	0.2
2000cw	-10.56	0.24
