spec_file_name	viewing_angle	v_siII	v_siII_err
optical_m012.84_I4.spec  012.84  -16399.8  1206.8
optical_m022.33_I4.spec  022.33  -15903.4  947.7
optical_m028.96_I4.spec  028.96  -15506.8  743.2
optical_m034.41_I4.spec  034.41  -15407.7  743.0
optical_m039.20_I4.spec  039.20  -15407.7  743.0
optical_m043.53_I4.spec  043.53  -14912.7  1043.3
optical_m047.55_I4.spec  047.55  -14912.7  1201.5
optical_m051.32_I4.spec  051.32  -14418.5  1169.7
optical_m054.90_I4.spec  054.90  -14418.5  943.5
optical_m058.33_I4.spec  058.33  -14418.5  943.5
optical_m061.64_I4.spec  061.64  -14023.8  1102.8
optical_m064.85_I4.spec  064.85  -13826.6  1113.1
optical_m067.98_I4.spec  067.98  -13728.0  1062.1
optical_m071.03_I4.spec  071.03  -13728.0  941.0
optical_m074.04_I4.spec  074.04  -13728.0  1062.1
optical_m077.00_I4.spec  077.00  -12744.2  1132.0
optical_m079.92_I4.spec  079.92  -12547.6  1070.7
optical_m082.82_I4.spec  082.82  -12449.3  1070.1
optical_m085.70_I4.spec  085.70  -12154.7  1069.3
optical_m088.57_I4.spec  088.57  -12154.7  949.9
optical_m091.43_I4.spec  091.43  -12154.7  1145.3
optical_m094.30_I4.spec  094.30  -11958.8  1107.1
optical_m097.18_I4.spec  097.18  -11664.6  1117.0
optical_m100.08_I4.spec  100.08  -11763.1  1045.4
optical_m103.00_I4.spec  103.00  -12252.9  936.8
optical_m105.96_I4.spec  105.96  -12252.9  936.8
optical_m108.97_I4.spec  108.97  -11860.7  841.4
optical_m112.02_I4.spec  112.02  -11860.7  774.4
optical_m115.15_I4.spec  115.15  -11958.5  890.6
optical_m118.36_I4.spec  118.36  -11958.5  842.0
optical_m121.67_I4.spec  121.67  -11958.5  790.5
optical_m125.10_I4.spec  125.10  -11860.6  871.0
optical_m128.68_I4.spec  128.68  -11566.8  889.1
optical_m132.45_I4.spec  132.45  -11566.8  889.2
optical_m136.47_I4.spec  136.47  -11566.8  826.4
optical_m140.81_I4.spec  140.81  -11566.8  889.1
optical_m145.59_I4.spec  145.59  -11811.6  753.5
optical_m151.05_I4.spec  151.05  -11566.8  889.1
optical_m157.67_I4.spec  157.67  -11468.7  656.7
optical_m167.16_I4.spec  167.16  -10979.7  733.0
