filename	cos_theta	minwave	err	v_siII	v_siII_err
1.0_0.933.dat_cleared.dat	0.933	6040.8	5.8	-15199.1	285.9
1.0_0.800.dat_cleared.dat	0.800	6060.8	6.0	-14210.9	296.4
1.0_0.667.dat_cleared.dat	0.667	6065.1	5.7	-13996.9	281.1
1.0_0.533.dat_cleared.dat	0.533	6078.6	4.5	-13332.1	222.0
1.0_0.400.dat_cleared.dat	0.400	6089.2	6.6	-12812.5	323.0
1.0_0.267.dat_cleared.dat	0.267	6102.0	6.2	-12183.2	306.3
1.0_0.133.dat_cleared.dat	0.133	6110.0	5.6	-11789.2	275.2
1.0_0.000.dat_cleared.dat	0.000	6115.2	6.3	-11537.1	310.3
1.0_n0.133.dat_cleared.dat	-0.133	6121.4	5.0	-11231.6	244.4
1.0_n0.267.dat_cleared.dat	-0.267	6118.1	5.5	-11393.9	268.6
1.0_n0.400.dat_cleared.dat	-0.400	6126.9	5.6	-10961.9	273.9
1.0_n0.533.dat_cleared.dat	-0.533	6127.3	5.1	-10944.3	251.6
1.0_n0.667.dat_cleared.dat	-0.667	6123.6	4.8	-11124.2	236.0
1.0_n0.800.dat_cleared.dat	-0.800	6121.8	6.0	-11214.2	291.4
1.0_n0.933.dat_cleared.dat	-0.933	6125.4	7.4	-11034.2	362.2
