SN      SN_Host      v_siII  v_siII_err
1998de  NGC252       1.13    02
1998dk  UGC139       1.27    03
1998ef  UGC646       1.33    02
1998es  NGC632       1.18    02
1999aa  NGC2595      1.04    02
1999ac  NGC6063      1.00    02
1999bh  NGC3435      0.88    04
1999by  NGC2841      1.01    02
1999cl  NGC4501      1.26    02
1999cp  NGC5468      1.08    04
1999da  NGC6411      1.07    03
1999dg  UGC9758      NaN     NaN
1999dk  UGC1087      1.26    06
1999do  MCG+05-54-3  NaN     NaN
1999dq  NGC976       1.07    02
1999ej  NGC495       1.09    10
1999ek  UGC3329      1.07    02
2000A   MCG+01-59-8  0.97    05
2000B   NGC2320      1.45    07
2000cn  UGC11064     1.12    06
2000dg  MCG+01-1-29  1.08    02
2000dn  IC1468       1.02    02
2000dr  IC1610       1.04    06
2000dx  UGC1775      1.30    07
2000ej  IC1371       NaN     NaN
2001ay  IC4423       1.51    02
2001br  UGC11260     1.33    02
2001bs  UGC10018     1.32    05
2001cj  UGC8399      1.05    05
2001ck  UGC9425      1.12    03
2001de  UGC12089     1.12    05
2001dn  NGC662       NaN     NaN
2001dt  UGC12558     NaN     NaN
2001E   NGC3905      1.46    03
2001ec  PGC074077    NaN     NaN
2001eh  UGC1162      1.07    02
2001ep  NGC1699      1.05    02
2001ex  UGC3595      0.99    03
2001gc  UGC3375      1.52    05
2001ib  NGC7242      1.00    05
2001N   NGC3327      1.49    04
2001P   NGC3947      1.00    10
2001U   NGC5442      NaN     NaN
2002ar  NGC3746      1.21    03
2002au  UGC5100      0.50    03
2002bf  Anon.Gal     1.58    04
2002cf  NGC4786      1.13    05
2002ck  UGC10030     1.03    02
2002cr  NGC5468      0.99    02
2002cu  NGC6575      1.23    03
2002de  NGC6104      1.14    02
2002df  MCG-1-53-6   1.08    03
2002dj  NGC5018      1.34    02
2002dk  NGC6616      1.13    02
2002do  MCG+7-41-1   1.12    02
2002eb  CGCG473-011  1.03    02
2002ef  NGC7761      1.15    03
2002er  UGC10743     1.16    03
2002es  UGC2708      0.95    03
2002et  ESO527-G11   NaN     NaN
2002fb  NGC759       1.09    02
2002fk  NGC1309      0.98    02
2002gc  UGC1394      0.95    06
2002ha  NGC6962      1.07    02
2002he  UGC4322      1.26    02
2002hw  UGC52        1.05    04
2002jm  IC603        NaN     NaN
2003D   MCG-1-25-9   1.11    07
2003F   UGC3261      1.00    03
2003M   UGC7224      NaN     NaN
2003W   UGC5234      1.52    03
2003Y   IC522        1.04    04
2003aa  NGC3367      NaN     NaN
2003ag  UGC6440      1.23    05
2003cg  NGC3169      1.13    02
2003cq  NGC3978      1.17    02
2003du  UGC9391      1.04    02
2003dw  UGC10548     1.27    03
2003eh  MCG+01-29-3  1.02    05
2003ez  PGC42782     1.03    05
2003fa  MCG+7-36-33  1.02    04
2003gq  NGC7407      0.55    03
2003hh  UGC12890     NaN     NaN
2003it  UGC40        1.17    02
2003lq  UGC5         1.01    05
2004H   IC708        1.00    06
2004ab  NGC5054      1.13    04
2004at  MCG10-16-37  1.09    02
2004bd  NGC3786      1.03    06
2004bk  NGC5246      1.22    04
2004br  NGC4493      1.10    03
2004bv  NGC6907      0.97    05
2004bw  MCG+0-38-19  1.13    05
2004ca  UGC11799     1.24    02
2004dt  NGC799       1.39    03
2004ef  UGC12158     1.23    02
2004fg  MCG+05-56-7  1.12    03
2004go  IC270        NaN     NaN
2005F   MCG+2-23-27  NaN     NaN
