SN,Source
2006td,bsnip
1996z,cfa
1996x,cfa
1996x,other
1996c,cfa
2005m,bsnip
2005m,cfa
2005m,csp
2005m,uv
2001ck,bsnip
2001ck,cfa
2001cj,bsnip
2001cj,cfa
2007sw,cfa
2007su,bsnip
2007su,cfa
2007sr,bsnip
2007sr,cfa
2007sr,csp
2007sr,swift_uv
2001cp,bsnip
2001cp,cfa
2003kc,bsnip
2003kc,cfa
2002kf,bsnip
2002kf,cfa
2007ae,cfa
2007af,bsnip
2007af,cfa
2007af,csp
2007al,bsnip
2007al,cfa
2007al,csp
2007ai,csp
2007au,bsnip
2007au,cfa
2007ap,bsnip
2007ap,cfa
2007as,csp
2007ax,bsnip
2007ax,cfa
2007ax,csp
2006et,bsnip
2006et,cfa
2006et,csp
2006eu,bsnip
2006eu,cfa
2006ev,bsnip
2006ev,cfa
2006ev,csp
2006ef,bsnip
2006ef,csp
2006em,bsnip
2006em,cfa
2006en,bsnip
2006ej,bsnip
2006ej,csp
1998co,cfa
2004s,bsnip
2004gu,bsnip
2004gu,csp
2004gs,bsnip
2004gs,cfa
2004gs,csp
1999cp,bsnip
1999cp,cfa
1999cl,bsnip
1999cl,cfa
1999cc,cfa
2003hv,bsnip
2003hv,cfa
2003hv,other
2003hu,cfa
1997y,bsnip
1997y,cfa
1997e,bsnip
1997e,cfa
1996ai,bsnip
1996ai,cfa
2007le,bsnip
2007le,cfa
2007le,csp
2002jg,bsnip
2002jg,cfa
2002jy,bsnip
2002jy,cfa
asassn-14lp,foley_hst
2004fu,bsnip
2004fu,cfa
1999by,bsnip
1999by,cfa
1996bk,cfa
1996bo,cfa
1996bl,cfa
2007o,bsnip
2007a,bsnip
2007a,cfa
2007a,csp
2007s,bsnip
2007s,cfa
2007s,csp
2007jg,cfa
2007jg,csp
2007jg,other
2007qe,bsnip
2007qe,cfa
2003it,cfa
2003iv,bsnip
2003iv,cfa
2003ic,cfa
1994d,bsnip
1994d,cfa
1994d,other
1994m,cfa
1994m,other
1994t,cfa
1994s,bsnip
1994s,cfa
1994s,other
2002ef,bsnip
2002ef,cfa
2002er,bsnip
2002er,cfa
2002er,other
2002eu,bsnip
2002eu,cfa
2006gj,bsnip
2006gj,cfa
2006gj,csp
2006gr,bsnip
2006gr,cfa
2008ia,csp
1998ab,cfa
1998aq,bsnip
1998aq,cfa
2005am,bsnip
2005am,cfa
2005am,csp
2005am,other
2006s,bsnip
2006s,cfa
2006x,bsnip
2006x,cfa
2006x,csp
2006x,other
