# v_siII km/s
# v_siII_err km/s or flag
SN                  source    v_siII  v_siII_err
1998de              Wang13  11300.00       2.000
1998dk              Wang13  12700.00       3.000
1998ef              Wang13  13300.00       2.000
1998es              Wang13  11800.00       2.000
1999aa              Wang13  10400.00       2.000
1999ac              Wang13  10000.00       2.000
1999bh              Wang13   8800.00       4.000
1999by              Wang13  10100.00       2.000
1999cl              Wang13  12600.00       2.000
1999cp              Wang13  10800.00       4.000
1999da              Wang13  10700.00       3.000
1999dk              Wang13  12600.00       6.000
1999dq              Wang13  10700.00       2.000
1999ej              Wang13  10900.00      10.000
1999ek              Wang13  10700.00       2.000
2000a               Wang13   9700.00       5.000
2000b               Wang13  14500.00       7.000
2000cn              Wang13  11200.00       6.000
2000dg              Wang13  10800.00       2.000
2000dn              Wang13  10200.00       2.000
2000dr              Wang13  10400.00       6.000
2000dx              Wang13  13000.00       7.000
2001ay              Wang13  15100.00       2.000
2001br              Wang13  13300.00       2.000
2001bs              Wang13  13200.00       5.000
2001cj              Wang13  10500.00       5.000
2001ck              Wang13  11200.00       3.000
2001de              Wang13  11200.00       5.000
2001e               Wang13  14600.00       3.000
2001eh              Wang13  10700.00       2.000
2001ep              Wang13  10500.00       2.000
2001ex              Wang13   9900.00       3.000
2001gc              Wang13  15200.00       5.000
2001ib              Wang13  10000.00       5.000
2001n               Wang13  14900.00       4.000
2001p               Wang13  10000.00      10.000
2002ar              Wang13  12100.00       3.000
2002bf              Wang13  15800.00       4.000
2002cf              Wang13  11300.00       5.000
2002ck              Wang13  10300.00       2.000
2002cr              Wang13   9900.00       2.000
2002cu              Wang13  12300.00       3.000
2002de              Wang13  11400.00       2.000
2002df              Wang13  10800.00       3.000
2002dj              Wang13  13400.00       2.000
2002dk              Wang13  11300.00       2.000
2002do              Wang13  11200.00       2.000
2002eb              Wang13  10300.00       2.000
2002ef              Wang13  11500.00       3.000
2002er              Wang13  11600.00       3.000
2002es              Wang13   9500.00       3.000
2002fb              Wang13  10900.00       2.000
2002fk              Wang13   9800.00       2.000
2002gc              Wang13   9500.00       6.000
2002ha              Wang13  10700.00       2.000
2002he              Wang13  12600.00       2.000
2002hw              Wang13  10500.00       4.000
2003d               Wang13  11100.00       7.000
2003f               Wang13  10000.00       3.000
2003w               Wang13  15200.00       3.000
2003y               Wang13  10400.00       4.000
2003ag              Wang13  12300.00       5.000
2003cg              Wang13  11300.00       2.000
2003cq              Wang13  11700.00       2.000
2003du              Wang13  10400.00       2.000
2003dw              Wang13  12700.00       3.000
2003eh              Wang13  10200.00       5.000
2003ez              Wang13  10300.00       5.000
2003fa              Wang13  10200.00       4.000
2003gq              Wang13   5500.00       3.000
2003it              Wang13  11700.00       2.000
2003lq              Wang13  10100.00       5.000
2004h               Wang13  10000.00       6.000
2004ab              Wang13  11300.00       4.000
2004at              Wang13  10900.00       2.000
2004bd              Wang13  10300.00       6.000
2004bk              Wang13  12200.00       4.000
2004br              Wang13  11000.00       3.000
2004bv              Wang13   9700.00       5.000
2004bw              Wang13  11300.00       5.000
2004ca              Wang13  12400.00       2.000
2004dt              Wang13  13900.00       3.000
2004ef              Wang13  12300.00       2.000
2004fg              Wang13  11200.00       3.000
2005m               Wang13   8100.00       3.000
2005w               Wang13  10800.00       3.000
2005bc              Wang13  10800.00       2.000
2005bl              Wang13  10300.00       3.000
2005bo              Wang13  11000.00       2.000
2005cc              Wang13   5500.00       5.000
2005cf              Wang13  10200.00       2.000
2005dh              Wang13   9200.00       5.000
2005el              Wang13  10900.00       3.000
2005hk              Wang13   5400.00       2.000
2005iq              Wang13  10800.00       3.000
2005kc              Wang13  10700.00       4.000
2005ke              Wang13   9700.00       2.000
2005lu              Wang13  13700.00      10.000
2005ms              Wang13  11500.00       3.000
2005mz              Wang13  11000.00       3.000
2005na              Wang13  10500.00       2.000
2006x               Wang13  16000.00       2.000
2006ax              Wang13  10300.00       2.000
2006bb              Wang13  14300.00      10.000
2006br              Wang13  14000.00       2.000
2006bt              Wang13  11500.00       2.000
2006cf              Wang13  10600.00       2.000
2006cp              Wang13  13200.00       6.000
2006cq              Wang13  10300.00       3.000
2006cs              Wang13   9800.00       6.000
2006cz              Wang13  11900.00       4.000
2006dt              Wang13  10500.00       3.000
2006ef              Wang13  12200.00       3.000
2006em              Wang13  10000.00       4.000
2006en              Wang13  10600.00       4.000
2006et              Wang13   9600.00       2.000
2006eu              Wang13  11300.00       6.000
2006gr              Wang13  11600.00       2.000
2006gz              Wang13  11900.00       2.000
2006kf              Wang13  11800.00       3.000
2006le              Wang13  11700.00       3.000
2006lf              Wang13  10900.00       3.000
2006mo              Wang13  11000.00       3.000
2006sr              Wang13  12100.00       2.000
2007a               Wang13  10600.00       2.000
2007e               Wang13  10500.00       4.000
2007f               Wang13  11000.00       2.000
2007n               Wang13  11000.00       3.000
2007s               Wang13  10200.00       3.000
2007af              Wang13  10900.00       2.000
2007ap              Wang13  11200.00       5.000
2007au              Wang13  10900.00       2.000
2007ax              Wang13   9900.00       2.000
2007ba              Wang13  10700.00       3.000
2007bc              Wang13  10200.00       3.000
2007bd              Wang13  12400.00       5.000
2007bm              Wang13  10300.00       5.000
2007cc              Wang13  10000.00      10.000
2007cf              Wang13   9800.00       5.000
2007ci              Wang13  11900.00       3.000
2007cp              Wang13  12200.00       3.000
2007fb              Wang13  11900.00       2.000
2007fc              Wang13  11300.00       3.000
2007gi              Wang13  15600.00       3.000
2007hu              Wang13  13400.00       3.000
2007ir              Wang13  13500.00      10.000
2007is              Wang13  11500.00       3.000
2007kk              Wang13  12500.00       3.000
2007oo              Wang13  11500.00       3.000
2008r               Wang13  11000.00       5.000
2008bi              Wang13   9500.00       3.000
